Date,Open,High,Low,Close,Adj Close,Volume,Open_SMA_5,Open_SMA_10,Open_SMA_20,Open_SMA_60,Open_SMA_120,Close_SMA_5,Close_SMA_10,Close_SMA_20,Close_SMA_60,Close_SMA_120,High_SMA_5,High_SMA_10,High_SMA_20,High_SMA_60,High_SMA_120,Low_SMA_5,Low_SMA_10,Low_SMA_20,Low_SMA_60,Low_SMA_120,Volume_SMA_5,Volume_SMA_10,Volume_SMA_20,Volume_SMA_60,Volume_SMA_120,RSI_14,MACD,BB_Middle,BB_Upper,BB_Lower,OBV,Dividends,Splits,Interest_Rate,Inflation_Rate,Consumer_Sentiment
2020-01-02,55.31999969482422,55.43000030517578,54.7599983215332,54.9900016784668,47.45193099975586,11867700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.55,0.0010671615821831182,99.8
2020-01-03,54.31999969482422,54.9900016784668,54.09000015258789,54.689998626708984,47.19305419921875,11354500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.023931867376688842,0.0,0.0,0.0,-11354500.0,0.0,0.0,1.55,0.0010671615821831182,99.8
2020-01-06,54.650001525878906,54.90999984741211,54.52000045776367,54.66999816894531,47.17579650878906,14698300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04400465619853122,0.0,0.0,0.0,-26052800.0,0.0,0.0,1.55,0.0010671615821831182,99.8
2020-01-07,54.45000076293945,54.599998474121094,54.150001525878906,54.25,46.81336975097656,9973900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09273385002098422,0.0,0.0,0.0,-36026700.0,0.0,0.0,1.55,0.0010671615821831182,99.8
2020-01-08,54.27000045776367,54.63999938964844,54.150001525878906,54.349998474121094,46.899658203125,10676000,54.6020004272461,0.0,0.0,0.0,0.0,54.58999938964844,0.0,0.0,0.0,0.0,54.91399993896484,0.0,0.0,0.0,0.0,54.33400039672851,0.0,0.0,0.0,0.0,11714080.0,0.0,0.0,0.0,0.0,0.0,-0.12187811106286262,0.0,0.0,0.0,-25350700.0,0.0,0.0,1.55,0.0010671615821831182,99.8
2020-01-09,55.0,55.400001525878906,54.84000015258789,55.34000015258789,47.75395584106445,15398000,54.53800048828125,0.0,0.0,0.0,0.0,54.65999908447266,0.0,0.0,0.0,0.0,54.90800018310547,0.0,0.0,0.0,0.0,54.35000076293945,0.0,0.0,0.0,0.0,12420140.0,0.0,0.0,0.0,0.0,0.0,-0.06434851660472418,0.0,0.0,0.0,-9952700.0,0.0,0.0,1.55,0.0010671615821831182,99.8
2020-01-10,55.47999954223633,55.93000030517578,55.45000076293945,55.529998779296875,47.917903900146484,13040100,54.77000045776367,0.0,0.0,0.0,0.0,54.827999114990234,0.0,0.0,0.0,0.0,55.09599990844727,0.0,0.0,0.0,0.0,54.62200088500977,0.0,0.0,0.0,0.0,12757260.0,0.0,0.0,0.0,0.0,0.0,-0.0033855704786347474,0.0,0.0,0.0,3087400.0,0.0,0.0,1.55,0.0010671615821831182,99.8
2020-01-13,55.529998779296875,56.22999954223633,55.41999816894531,56.130001068115234,48.43566131591797,14302900,54.94599990844726,0.0,0.0,0.0,0.0,55.119999694824216,0.0,0.0,0.0,0.0,55.35999984741211,0.0,0.0,0.0,0.0,54.80200042724609,0.0,0.0,0.0,0.0,12678180.0,0.0,0.0,0.0,0.0,0.0,0.09227943394729721,0.0,0.0,0.0,17390300.0,0.0,0.0,1.55,0.0010671615821831182,99.8
2020-01-14,56.2400016784668,56.290000915527344,55.83000183105469,56.0,48.323482513427734,16345300,55.30400009155274,0.0,0.0,0.0,0.0,55.46999969482422,0.0,0.0,0.0,0.0,55.69800033569336,0.0,0.0,0.0,0.0,55.13800048828125,0.0,0.0,0.0,0.0,13952460.0,0.0,0.0,0.0,0.0,0.0,0.1558085751840892,0.0,0.0,0.0,1045000.0,0.0,0.0,1.55,0.0010671615821831182,99.8
2020-01-15,56.0,56.97999954223633,56.0,56.70000076293945,48.927528381347656,17735400,55.65,55.126000213623044,0.0,0.0,0.0,55.94000015258789,55.26499977111816,0.0,0.0,0.0,56.16600036621094,55.54000015258789,0.0,0.0,0.0,55.508000183105466,54.92100028991699,0.0,0.0,0.0,15364340.0,13539210.0,0.0,0.0,0.0,0.0,0.25964703929145827,0.0,0.0,0.0,18780400.0,0.0,0.0,1.55,0.0010671615821831182,99.8
2020-01-16,56.849998474121094,56.95000076293945,56.61000061035156,56.81999969482422,49.031070709228516,10234100,56.01999969482422,55.27900009155273,0.0,0.0,0.0,56.236000061035156,55.44799957275391,0.0,0.0,0.0,56.476000213623045,55.692000198364255,0.0,0.0,0.0,55.8620002746582,55.10600051879883,0.0,0.0,0.0,14331560.0,13375850.0,0.0,0.0,0.0,0.0,0.34761558506107804,0.0,0.0,0.0,29014500.0,0.0,0.0,1.55,0.0010671615821831182,99.8
2020-01-17,56.869998931884766,57.150001525878906,56.79999923706055,56.939998626708984,49.134620666503906,14264300,56.29799957275391,55.53400001525879,0.0,0.0,0.0,56.51800003051758,55.67299957275391,0.0,0.0,0.0,56.720000457763675,55.90800018310547,0.0,0.0,0.0,56.13199996948242,55.377000427246095,0.0,0.0,0.0,14576400.0,13666830.0,0.0,0.0,0.0,0.0,0.4221479435772366,0.0,0.0,0.0,43278800.0,0.0,0.0,1.55,0.0010671615821831182,99.8
2020-01-21,56.849998474121094,57.25,56.56999969482422,57.16999816894531,49.333099365234375,11968900,56.56199951171875,55.75399971008301,0.0,0.0,0.0,56.725999450683595,55.92299957275391,0.0,0.0,0.0,56.9240005493164,56.14200019836426,0.0,0.0,0.0,56.3620002746582,55.58200035095215,0.0,0.0,0.0,14109600.0,13393890.0,0.0,0.0,0.0,0.0,0.4940789806150008,0.0,0.0,0.0,55247700.0,0.0,0.0,1.55,0.0010671615821831182,99.8
2020-01-22,57.25,57.63999938964844,57.18000030517578,57.61000061035156,49.71278381347656,12869600,56.76399917602539,56.033999633789065,0.0,0.0,0.0,57.04799957275391,56.25899963378906,0.0,0.0,0.0,57.194000244140625,56.446000289916995,0.0,0.0,0.0,56.63199996948242,55.885000228881836,0.0,0.0,0.0,13414460.0,13683460.0,0.0,0.0,0.0,80.04582881650887,0.5799045863765357,0.0,0.0,0.0,68117300.0,0.0,0.0,1.55,0.0010671615821831182,99.8
2020-01-23,57.380001068115234,57.849998474121094,57.2400016784668,57.83000183105469,49.90262985229492,12858900,57.039999389648436,56.34499969482422,0.0,0.0,0.0,57.273999786376955,56.60699996948242,0.0,0.0,0.0,57.36800003051758,56.76700019836426,0.0,0.0,0.0,56.880000305175784,56.194000244140625,0.0,0.0,0.0,12439160.0,13901750.0,0.0,0.0,0.0,81.00433025909092,0.6580882257457787,0.0,0.0,0.0,80976200.0,0.0,0.0,1.55,0.0010671615821831182,99.8
2020-01-24,57.849998474121094,57.869998931884766,57.459999084472656,57.68000030517578,49.77318572998047,8594300,57.23999938964844,56.62999954223633,0.0,0.0,0.0,57.44599990844726,56.84099998474121,0.0,0.0,0.0,57.55199966430664,57.013999938964844,0.0,0.0,0.0,57.05,56.4560001373291,0.0,0.0,0.0,12111200.0,13221380.0,0.0,0.0,0.0,83.74716588923266,0.6998776992470539,0.0,0.0,0.0,72381900.0,0.0,0.0,1.55,0.0010671615821831182,99.8
2020-01-27,57.209999084472656,57.849998474121094,57.130001068115234,57.47999954223633,49.60060119628906,14359900,57.30799942016601,56.80299949645996,0.0,0.0,0.0,57.55400009155274,57.03600006103515,0.0,0.0,0.0,57.69199905395508,57.205999755859374,0.0,0.0,0.0,57.11600036621094,56.62400016784668,0.0,0.0,0.0,12130320.0,13353360.0,0.0,0.0,0.0,80.47720906755151,0.7086884486873899,0.0,0.0,0.0,58022000.0,0.0,0.0,1.55,0.0010671615821831182,99.8
2020-01-28,57.45000076293945,57.75,56.970001220703125,57.0099983215332,49.19502639770508,15240200,57.427999877929686,56.994999694824216,0.0,0.0,0.0,57.52200012207031,57.123999786376956,0.0,0.0,0.0,57.79199905395508,57.35799980163574,0.0,0.0,0.0,57.19600067138672,56.779000473022464,0.0,0.0,0.0,12784580.0,13447090.0,0.0,0.0,0.0,79.6136683821862,0.6700222609998008,0.0,0.0,0.0,42781800.0,0.0,0.0,1.55,0.0010671615821831182,99.8
